,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.6539515205496909,0.25806043610010865,0.11959423915397022,0.2695340709760785
CTX_LH_CAUDALANTERIORCINGULATE,0.2380784862535677,0.32769133434552067,0.12899059524024686,0.2723088311031461
CTX_LH_CAUDALMIDDLEFRONTAL,0.6176152018010763,0.27260930372045544,0.10413529878110322,0.24643658753484488
CTX_LH_CUNEUS,0.42342752968698383,0.3055179177968239,0.1365563294149001,0.28077289555221796
CTX_LH_ENTORHINAL,0.6506269285893016,0.27610199530061535,0.11740311374326279,0.2662921594455838
CTX_LH_FUSIFORM,0.7336810033701894,0.23871375122164648,0.10879217016071452,0.25189895555377007
CTX_LH_INFERIORPARIETAL,0.6561093160274947,0.26252367640885255,0.12340817115422781,0.2772028921172023
CTX_LH_INFERIORTEMPORAL,0.7467739728773941,0.2575263185971903,0.1390137760899982,0.2846610229462385
CTX_LH_ISTHMUSCINGULATE,0.46901711368078586,0.3109358384891258,0.15329270427242192,0.30679559148848057
CTX_LH_LATERALOCCIPITAL,0.6424988724160356,0.26257729806889474,0.12309505495720252,0.2579510975629091
CTX_LH_LATERALORBITOFRONTAL,0.5255432152025712,0.2797287957845707,0.1295198807820282,0.27639754582196474
CTX_LH_LINGUAL,0.5243964997457932,0.2796588075849909,0.103890710723477,0.24525616131722927
CTX_LH_MEDIALORBITOFRONTAL,0.41334050137079725,0.30601683150583525,0.1389131766972902,0.2821701727807522
CTX_LH_MIDDLETEMPORAL,0.6842838700677337,0.26666381474287254,0.1390215989475766,0.2993106506764889
CTX_LH_PARAHIPPOCAMPAL,0.5672663568486682,0.2740635545976879,0.0954730772009556,0.24669891875237226
CTX_LH_PARACENTRAL,0.11527506010747848,0.36376590001290066,0.1366230245084073,0.28557197842746973
CTX_LH_PARSOPERCULARIS,0.6116254892302049,0.2736732244914176,0.11406027309387085,0.25799775775521994
CTX_LH_PARSORBITALIS,0.4473962886136916,0.29727098677841307,0.1480603976422823,0.2931298241019249
CTX_LH_PARSTRIANGULARIS,0.5147082592019878,0.28981437108093233,0.1392114030250346,0.2747375024482608
CTX_LH_PERICALCARINE,0.27926194651167574,0.30344973529625807,0.13465001682646932,0.27739285584539175
CTX_LH_POSTCENTRAL,0.14022623866713935,0.3243457306028055,0.1130808051609099,0.26083819568157196
CTX_LH_POSTERIORCINGULATE,0.4580183962240802,0.30895387875614716,0.14663724829037333,0.3003976056352258
CTX_LH_PRECENTRAL,0.48379146417513075,0.2787117447094755,0.1006280087468257,0.2439599009230733
CTX_LH_PRECUNEUS,0.5452624740727815,0.2839347851864996,0.12880948991377955,0.2859217608347535
CTX_LH_ROSTRALANTERIORCINGULATE,0.2821846650819909,0.333413074625238,0.12614958529632408,0.2642937460914254
CTX_LH_ROSTRALMIDDLEFRONTAL,0.521883532276415,0.2898726536642431,0.13649209287434,0.2853781105950475
CTX_LH_SUPERIORFRONTAL,0.42376703711563024,0.30487412126193864,0.10157921129560449,0.24604906048625708
CTX_LH_SUPERIORPARIETAL,0.5861379618162471,0.2737702986748371,0.10391977398301927,0.25450367387384176
CTX_LH_SUPERIORTEMPORAL,0.48758086979142096,0.28713827642058454,0.10034562315200152,0.24344343040138483
CTX_LH_SUPRAMARGINAL,0.5589490118882005,0.27755622996356627,0.11671406461053357,0.26369207352399826
CTX_LH_FRONTALPOLE,0.3432644041517131,0.3145094665982342,0.14250043060736572,0.29628116078674793
CTX_LH_TEMPORALPOLE,0.4994505992952256,0.30013048382538376,0.1118687382399915,0.257659244351089
