,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.5525029241085813,0.10167912674718636,0.1941303483254757,0.33773379076808463
CTX_LH_CAUDALANTERIORCINGULATE,0.23774293423506157,0.12510418656944078,0.16623519406043705,0.3059269942631997
CTX_LH_CAUDALMIDDLEFRONTAL,0.48085839708570416,0.10633358651125034,0.1934129899191544,0.34123071661122617
CTX_LH_CUNEUS,0.3492779954058176,0.11767804423945825,0.18937088412964878,0.33434214369914217
CTX_LH_ENTORHINAL,0.6039137400412302,0.11434699196721966,0.19360340919803437,0.3335416579356554
CTX_LH_FUSIFORM,0.6032334129688731,0.08905977938688897,0.19273750984420732,0.3305818876991352
CTX_LH_INFERIORPARIETAL,0.554305528154706,0.10081739698753718,0.21556207894918789,0.3586135127336026
CTX_LH_INFERIORTEMPORAL,0.656821734787091,0.08271243321407704,0.21595580077240092,0.35303008383667
CTX_LH_ISTHMUSCINGULATE,0.46268787347896756,0.10772228459433149,0.22271592294466427,0.3573561007091382
CTX_LH_LATERALOCCIPITAL,0.5469793103359324,0.08792733735522484,0.20431375144888822,0.3379210230290526
CTX_LH_LATERALORBITOFRONTAL,0.45718262818030936,0.09967330768952773,0.18124387764897232,0.3261438491175373
CTX_LH_LINGUAL,0.4549263033663119,0.08550533629943619,0.15916025538847337,0.3061471697286828
CTX_LH_MEDIALORBITOFRONTAL,0.4217510073493846,0.10905766490265016,0.19850973159265203,0.3333528902596091
CTX_LH_MIDDLETEMPORAL,0.6009965511254118,0.08569177735901715,0.20980584008145517,0.3532715983881576
CTX_LH_PARAHIPPOCAMPAL,0.5973764988387676,0.09157159505138804,0.14446640790199902,0.29321689050978955
CTX_LH_PARACENTRAL,0.20440689752774424,0.14957434208101406,0.1849914636321607,0.33672613245110805
CTX_LH_PARSOPERCULARIS,0.42259089958449486,0.11811247818170444,0.17585236597296697,0.32171980074296397
CTX_LH_PARSORBITALIS,0.39008192890167914,0.143760444043424,0.18898204130575058,0.3347738072765267
CTX_LH_PARSTRIANGULARIS,0.39217102901023576,0.1267612682250347,0.1871854990900024,0.32495529813172874
CTX_LH_PERICALCARINE,0.20697845695635103,0.11207480580985589,0.1807511633973399,0.32749517866832717
CTX_LH_POSTCENTRAL,0.26532569369567655,0.13646920015903982,0.16972047136633683,0.32224367847482843
CTX_LH_POSTERIORCINGULATE,0.4203672726526187,0.09909965592304928,0.22102809394890746,0.3585394525978317
CTX_LH_PRECENTRAL,0.3983116929921633,0.09667204365872353,0.17163001045241205,0.32079866717850086
CTX_LH_PRECUNEUS,0.4796538540119447,0.09342784915019448,0.2099393668422636,0.3523228728115526
CTX_LH_ROSTRALANTERIORCINGULATE,0.31899211127312577,0.11990375765193145,0.1640183049532933,0.3035553036368496
CTX_LH_ROSTRALMIDDLEFRONTAL,0.4200699360203825,0.10927009331053199,0.20373483358161826,0.345369945094202
CTX_LH_SUPERIORFRONTAL,0.4120442275349426,0.10488062746584285,0.18171315290286338,0.33313471569103303
CTX_LH_SUPERIORPARIETAL,0.46191648181840955,0.09452873373868204,0.18919073564851593,0.3372729883790189
CTX_LH_SUPERIORTEMPORAL,0.45915721936088666,0.08701860167040039,0.16236853610866214,0.31060047177619715
CTX_LH_SUPRAMARGINAL,0.432998389955927,0.1020297096848687,0.1893504715333551,0.3396618043927961
CTX_LH_FRONTALPOLE,0.3582642204007144,0.16121613156224254,0.1740864623141957,0.3264612121049375
CTX_LH_TEMPORALPOLE,0.4802315000461516,0.10268171455253076,0.17875149180365446,0.3216519322473903
CTX_LH_TRANSVERSETEMPORAL,0.2989522043603766,0.10412384487845208,0.14921194547341948,0.2920656947679092
CTX_LH_INSULA,0.4408740211802481,0.1124338514309275,0.17987305844820517,0.32183654552891017
CTX_RH_BANKSSTS,0.44178419813229414,0.1049281487726825,0.20761983627199168,0.3411521043309623
CTX_RH_CAUDALANTERIORCINGULATE,0.18543931324212384,0.15169198182289229,0.20092312751019417,0.3292949389798292
CTX_RH_CAUDALMIDDLEFRONTAL,0.48861801074026184,0.11297555052137308,0.22606005658623268,0.3654531431561298
CTX_RH_CUNEUS,0.4691050820377947,0.09868423811581317,0.18921823897356777,0.3333319621456344
CTX_RH_ENTORHINAL,0.5592538520868933,0.11991101179293727,0.21619525820980168,0.3451450134666517
CTX_RH_FUSIFORM,0.6397045828721603,0.08313950264641008,0.215838058571824,0.3457456025793402
CTX_RH_INFERIORPARIETAL,0.551436026568782,0.09361116324281611,0.23644787599379335,0.3688492447470376
CTX_RH_INFERIORTEMPORAL,0.6044517177923843,0.09521630426454347,0.2528974844864618,0.3770061640810669
CTX_RH_ISTHMUSCINGULATE,0.4429805747763536,0.062482079663862086,0.17865489049241995,0.31976362265025576
CTX_RH_LATERALOCCIPITAL,0.6348760032238123,0.08695651235322203,0.22670186841651224,0.35450791930315634
CTX_RH_LATERALORBITOFRONTAL,0.4725928483622779,0.10491557935121863,0.18972208209335642,0.33385888925123225
CTX_RH_LINGUAL,0.5173646953123505,0.09040705020797886,0.1824954815149163,0.3262662472154559
CTX_RH_MEDIALORBITOFRONTAL,0.4036373075112363,0.1074841774788513,0.18872567540147792,0.32520002702314266
CTX_RH_MIDDLETEMPORAL,0.5499208218076018,0.09931143857510352,0.23825329796449043,0.3653762995062883
CTX_RH_PARAHIPPOCAMPAL,0.474410845406108,0.1266597487000696,0.1853513322145984,0.33171130055538023
CTX_RH_PARACENTRAL,0.25627493611854574,0.12730984835020545,0.1687128566424535,0.3221915806521632
CTX_RH_PARSOPERCULARIS,0.4130906428785523,0.10684069865152664,0.19461869912347585,0.34135467864755864
CTX_RH_PARSORBITALIS,0.3752203231127282,0.13068237057797366,0.20431408613195523,0.35388066654195427
CTX_RH_PARSTRIANGULARIS,0.36619843417078773,0.11576808214518827,0.1913864385769068,0.34394617742457795
CTX_RH_PERICALCARINE,0.4033390219274756,0.1169124917980961,0.17047999849015052,0.3185948630686682
