,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.576463712480723,0.26815715458958556,0.12913565921369669,0.2665830859914422
CTX_LH_CAUDALANTERIORCINGULATE,0.36943291967694736,0.2898912759300254,0.10094816404366097,0.23206838127225637
CTX_LH_CAUDALMIDDLEFRONTAL,0.607775589589558,0.2927057955617934,0.12005472670068063,0.2429610826075077
CTX_LH_CUNEUS,0.5564283732454592,0.2663262590555951,0.10376871557993456,0.24269192200154066
CTX_LH_ENTORHINAL,0.6327917765101466,0.27415036960517003,0.11574925287988558,0.23503676429390907
CTX_LH_FUSIFORM,0.6909263884628655,0.23901699869966173,0.10906875168073432,0.233237543143332
CTX_LH_INFERIORPARIETAL,0.6924164807352324,0.2701494352508791,0.13068179442015182,0.27404346503317356
CTX_LH_INFERIORTEMPORAL,0.6980956783733343,0.26069034205837716,0.14245066637035686,0.27248297818005085
CTX_LH_ISTHMUSCINGULATE,0.511377946574073,0.2825458985456586,0.12657791484995845,0.27025164756923914
CTX_LH_LATERALOCCIPITAL,0.6831897473389174,0.24956435158509355,0.11119656095191405,0.2512047393247485
CTX_LH_LATERALORBITOFRONTAL,0.4908869828290174,0.2728136334111548,0.12319532395146071,0.24831091426312923
CTX_LH_LINGUAL,0.5422517496835324,0.25848749137279753,0.08875621584388294,0.22103766538202763
CTX_LH_MEDIALORBITOFRONTAL,0.40616454175727074,0.2889536615904904,0.12385376667188841,0.24830475077033043
CTX_LH_MIDDLETEMPORAL,0.6360987588567781,0.27062484125401187,0.14318232885296245,0.2750097457319498
CTX_LH_PARAHIPPOCAMPAL,0.37681319382588496,0.308288818366667,0.12080749926385426,0.23675812035799026
CTX_LH_PARACENTRAL,0.2891199224048839,0.2933103452740387,0.0888248918242347,0.22492445819079876
CTX_LH_PARSOPERCULARIS,0.4455880855976161,0.30561270378374555,0.14223700366497777,0.2675299281254411
CTX_LH_PARSORBITALIS,0.43148079223338787,0.29025825004841754,0.14115719090311468,0.27145003248006105
CTX_LH_PARSTRIANGULARIS,0.51239827201539,0.2799057023741023,0.12985493783835617,0.2584886895492673
CTX_LH_PERICALCARINE,0.40388481515142477,0.2695254198331193,0.10622637185058542,0.24652288015931845
CTX_LH_POSTCENTRAL,0.08549265685260035,0.2977198599463695,0.09527701291327179,0.22903905156999826
CTX_LH_POSTERIORCINGULATE,0.516967055505804,0.2694220552554641,0.11151243212026901,0.2545303227379918
CTX_LH_PRECENTRAL,0.3816203153908697,0.27865806905115864,0.10058925361995857,0.23302268330007792
CTX_LH_PRECUNEUS,0.6261058285131357,0.26026921608741804,0.10823214485526489,0.24596581049263477
CTX_LH_ROSTRALANTERIORCINGULATE,0.3403132319073154,0.2960440665595939,0.0994565285843661,0.22300337348133326
