,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.5438262635572607,0.10081812296357237,0.19085653428164145,0.32204221911361497
CTX_LH_CAUDALANTERIORCINGULATE,0.370008001303617,0.11318406714732238,0.13606608195539438,0.27189232342272956
CTX_LH_CAUDALMIDDLEFRONTAL,0.503163070158004,0.10911310862840158,0.2036566388175495,0.32841539443866996
CTX_LH_CUNEUS,0.4775885092535699,0.10574560545687778,0.15291390499662305,0.2954639306184478
CTX_LH_ENTORHINAL,0.6125650637856732,0.11058967606740451,0.18108925564313455,0.3031364992372404
CTX_LH_FUSIFORM,0.6165150184312072,0.08511118134325138,0.17602576919867297,0.30213462270677405
CTX_LH_INFERIORPARIETAL,0.6055874539695922,0.10089910022037282,0.21591160702182272,0.34569562945806565
CTX_LH_INFERIORTEMPORAL,0.643001219582304,0.08041771496157007,0.2041393546019742,0.3258952757272534
CTX_LH_ISTHMUSCINGULATE,0.5574300517369468,0.0969263716392863,0.18031176646171027,0.31555413357441275
CTX_LH_LATERALOCCIPITAL,0.6213460283785273,0.08310845691050199,0.18253249568486396,0.3139455281016384
CTX_LH_LATERALORBITOFRONTAL,0.4768308667197533,0.09537838869710166,0.16596081784782632,0.2926590369013524
CTX_LH_LINGUAL,0.5175985302554504,0.0792180486736839,0.13661439698056718,0.2745166217089593
CTX_LH_MEDIALORBITOFRONTAL,0.48114071353727983,0.10059004155914994,0.16888045417886768,0.2930438824496625
CTX_LH_MIDDLETEMPORAL,0.594091759529167,0.08339200206808299,0.19869551869939522,0.3262541008501463
CTX_LH_PARAHIPPOCAMPAL,0.5210059702203099,0.09742876965608846,0.1635384031198536,0.287555812822225
CTX_LH_PARACENTRAL,0.3419413102958701,0.12692358583989893,0.133205498632095,0.2762349338299546
CTX_LH_PARSOPERCULARIS,0.36555607247182637,0.12645879974486463,0.2015833987546455,0.32644757084030124
CTX_LH_PARSORBITALIS,0.40241297718623437,0.1390009059812546,0.17667576744878744,0.3081079855096977
CTX_LH_PARSTRIANGULARIS,0.41914989413492615,0.12173893071720279,0.1726465945235793,0.30303516183048484
CTX_LH_PERICALCARINE,0.32566875171419085,0.10107554443113351,0.14701352460145026,0.28427520081848723
CTX_LH_POSTCENTRAL,0.28301617898960524,0.12884450622636473,0.15128530595579578,0.28917247145951364
CTX_LH_POSTERIORCINGULATE,0.5395722109554317,0.08748530105331989,0.17225560673243231,0.30876828825251557
CTX_LH_PRECENTRAL,0.4164650885170594,0.09496678521712189,0.1656284367231876,0.30195036771740824
CTX_LH_PRECUNEUS,0.5731354307051872,0.0861643669622383,0.17856510138568643,0.3152052464884267
CTX_LH_ROSTRALANTERIORCINGULATE,0.40372491620313367,0.10743377615238449,0.1316765422973472,0.26463630071042904
CTX_LH_ROSTRALMIDDLEFRONTAL,0.5951869162550857,0.10038849512758803,0.17196123242750044,0.2999098587465866
CTX_LH_SUPERIORFRONTAL,0.49169105649774786,0.09697648727095722,0.1553562421480373,0.2929902782162248
CTX_LH_SUPERIORPARIETAL,0.5435903612169796,0.0910975359381867,0.17570553610107026,0.3137311349240861
CTX_LH_SUPERIORTEMPORAL,0.42542810853106755,0.08442476070761179,0.15283307509519595,0.28902268208179005
CTX_LH_SUPRAMARGINAL,0.41693782509902827,0.10391365414176156,0.19640761564131906,0.32679786588841225
CTX_LH_FRONTALPOLE,0.5142173888321815,0.1440282263527058,0.13894509922078263,0.28252746485879704
CTX_LH_TEMPORALPOLE,0.4984492841729548,0.09706313334213672,0.1597246941283667,0.28216872349010114
CTX_LH_TRANSVERSETEMPORAL,0.2578353519225961,0.09762161833658686,0.13115812690753276,0.262121078815287
CTX_LH_INSULA,0.3834117991890772,0.11052247860318881,0.17380936609898553,0.3044572239009373
CTX_RH_BANKSSTS,0.5218036382639888,0.09177529775333526,0.15883142309362278,0.29523929398976734
CTX_RH_CAUDALANTERIORCINGULATE,0.3602409146634871,0.12642553396528391,0.1395642776502179,0.2790279843375593
CTX_RH_CAUDALMIDDLEFRONTAL,0.5807612442766655,0.10064126895125737,0.17939366699798248,0.31026034320520146
CTX_RH_CUNEUS,0.5242900828197278,0.09316202229149124,0.16863403269440388,0.3075669629007452
CTX_RH_ENTORHINAL,0.5978822301145419,0.11635577426230981,0.20356537528328236,0.32124543352525115
