,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.5682440311751246,0.3258443388993378,0.19067237087795702,0.33100322913378477
CTX_LH_CAUDALANTERIORCINGULATE,0.3246116907790074,0.41391782181632464,0.20580521964738085,0.34069650433957577
CTX_LH_CAUDALMIDDLEFRONTAL,0.49531157201592163,0.3750245327522012,0.19707701589447807,0.3417441761121154
CTX_LH_CUNEUS,0.46462634742537184,0.3623635312071569,0.19210002876753862,0.33547452464699745
CTX_LH_ENTORHINAL,0.6486612350462666,0.3570341962840403,0.19631801472734556,0.32537349686026573
CTX_LH_FUSIFORM,0.7026368891446799,0.30528230769664644,0.17792871284466283,0.3044156916439533
CTX_LH_INFERIORPARIETAL,0.5747306298167175,0.32155249882928305,0.1851444675440838,0.3183556916192174
CTX_LH_INFERIORTEMPORAL,0.6592682736017021,0.3230864259513212,0.21880237186061302,0.34568761475384235
CTX_LH_ISTHMUSCINGULATE,0.4841113451427661,0.3548650508680946,0.19966704087377296,0.32974340952932835
CTX_LH_LATERALOCCIPITAL,0.6248094445209738,0.3155055415434363,0.17772161026351607,0.32250044867396355
CTX_LH_LATERALORBITOFRONTAL,0.5407199173187769,0.36411838836515914,0.21945592373901618,0.3674745699390769
CTX_LH_LINGUAL,0.5511377600679824,0.36261206122938716,0.17466432314760422,0.31865240540355444
CTX_LH_MEDIALORBITOFRONTAL,0.4495764031506778,0.3809235990094298,0.21524277005282844,0.35208557173609734
CTX_LH_MIDDLETEMPORAL,0.6020758627661471,0.32751227758361834,0.20970523609858205,0.34005466662347317
CTX_LH_PARAHIPPOCAMPAL,0.56902652866898,0.38280584490146397,0.18626680642152293,0.31472286581993103
CTX_LH_PARACENTRAL,0.22499363820013146,0.4310880276683677,0.19187210857537396,0.34300344437360764
CTX_LH_PARSOPERCULARIS,0.5300548022996159,0.38760905240210025,0.22880083818673547,0.371942738071084
CTX_LH_PARSORBITALIS,0.4401269869307889,0.3914217611385137,0.25669877443039896,0.40475852508097887
CTX_LH_PARSTRIANGULARIS,0.5085298185698631,0.3838611730320634,0.24422119304774553,0.3907993184402585
CTX_LH_PERICALCARINE,0.3798427904879182,0.3890274405085094,0.2213060862314873,0.3640829585492611
CTX_LH_POSTCENTRAL,0.19024388179878846,0.4231505307305365,0.1924696695438496,0.3374776584096253
CTX_LH_POSTERIORCINGULATE,0.4404186926515178,0.3640960062709103,0.2036520700635457,0.3373152166604996
CTX_LH_PRECENTRAL,0.485924757125076,0.3753615964525782,0.18251897199372902,0.33220203779637814
CTX_LH_PRECUNEUS,0.4804414370868853,0.3394313950116559,0.18408342031337133,0.3293392136693001
CTX_LH_ROSTRALANTERIORCINGULATE,0.2953526045531601,0.42498645887315367,0.20496077726534329,0.3401561984792352
CTX_LH_ROSTRALMIDDLEFRONTAL,0.479248855008311,0.3752749188140988,0.22876631664850988,0.36712206713855267
CTX_LH_SUPERIORFRONTAL,0.4216399168199547,0.3737261444005627,0.1526408142977298,0.30916712805628777
CTX_LH_SUPERIORPARIETAL,0.5154842129422932,0.3457846209687437,0.16578181176488888,0.3085240675136447
CTX_LH_SUPERIORTEMPORAL,0.4718668252087714,0.38714426198605123,0.18241557210337694,0.31626292783766985
CTX_LH_SUPRAMARGINAL,0.5263274980799127,0.3581424558155842,0.1943268668919544,0.33102744724601507
CTX_LH_FRONTALPOLE,0.37092448321408644,0.36404587720474924,0.19092419436719454,0.3385320454835892
CTX_LH_TEMPORALPOLE,0.5469778583699663,0.3511705436873198,0.15315270896929029,0.2898294711485505
CTX_LH_TRANSVERSETEMPORAL,0.3671744761361102,0.4097542026229665,0.183230057807994,0.32796439807862043
CTX_LH_INSULA,0.5179936197662096,0.4113842276427806,0.2898266763934927,0.4074023813009262
CTX_RH_BANKSSTS,0.5187966214181338,0.35861267680247616,0.21039771609203178,0.33096598368138075
CTX_RH_CAUDALANTERIORCINGULATE,0.24578696940613087,0.4492621364092023,0.2555939548279857,0.3738703476265073
CTX_RH_CAUDALMIDDLEFRONTAL,0.5136997516247994,0.37272884045011134,0.18736797528500243,0.31641309801489115
CTX_RH_CUNEUS,0.5883637574331066,0.34633639626673757,0.19593733701537502,0.33231871481984854
CTX_RH_ENTORHINAL,0.6444795875810505,0.39218064439168904,0.25174907979472566,0.35373649280518293
CTX_RH_FUSIFORM,0.6703054533511474,0.33193194164307177,0.21821571237368215,0.31851045694202185
CTX_RH_INFERIORPARIETAL,0.5767402991366125,0.3331888473060482,0.19507158562183957,0.33014027029275894
CTX_RH_INFERIORTEMPORAL,0.6150348924861166,0.3456908908920631,0.25267508984988307,0.35075879096984863
CTX_RH_ISTHMUSCINGULATE,0.49316067823072096,0.38255531462348175,0.19392663036880048,0.3127585733309388
CTX_RH_LATERALOCCIPITAL,0.6541479403763791,0.32857437824501956,0.2174684720421602,0.3430459098890424
CTX_RH_LATERALORBITOFRONTAL,0.5293585897697255,0.3731237730753741,0.23915193777991112,0.37952564004808664
CTX_RH_LINGUAL,0.6036304700875236,0.35785299864658004,0.19208047303234171,0.3174077244475484
CTX_RH_MEDIALORBITOFRONTAL,0.4493753548564581,0.38889053796026535,0.23554890181493227,0.37334993854165077
CTX_RH_MIDDLETEMPORAL,0.5716487967452456,0.34604350468432615,0.2210808720958829,0.33086160756647587
CTX_RH_PARAHIPPOCAMPAL,0.5655896096068396,0.3925459432894328,0.2357994122870481,0.3423785762861371
CTX_RH_PARACENTRAL,0.43294009490426766,0.40925627735459796,0.22449745805645616,0.36872806400060654
CTX_RH_PARSOPERCULARIS,0.5222674926066565,0.3844942609901505,0.21051687814017084,0.3422880060970783
CTX_RH_PARSORBITALIS,0.43660099195753216,0.3888976618772409,0.23542081020849032,0.3709192955866456
CTX_RH_PARSTRIANGULARIS,0.4210610677433273,0.39679608737648314,0.22875545380497309,0.3612255360931158
CTX_RH_PERICALCARINE,0.5640880767913982,0.368385704018395,0.19718381137148472,0.3360549407079816
CTX_RH_POSTCENTRAL,0.22620640495696215,0.4157203279837295,0.17879697929962513,0.3259246051311493
CTX_RH_POSTERIORCINGULATE,0.4580782769263567,0.38211701793379155,0.20583543916238317,0.3478447934612632
CTX_RH_PRECENTRAL,0.4649377961728381,0.3699210498311785,0.1604697456202363,0.30470541678369045
CTX_RH_PRECUNEUS,0.5877842064734156,0.3335373130741982,0.1769392032163689,0.30648973025381565
CTX_RH_ROSTRALANTERIORCINGULATE,0.32884135796470404,0.4257053950774583,0.2236739737534535,0.3576630698516965
CTX_RH_ROSTRALMIDDLEFRONTAL,0.3945274396624576,0.4023583642125242,0.2245997720566898,0.36861758306622505
CTX_RH_SUPERIORFRONTAL,0.47529837315938994,0.37731023691739296,0.18009489586294314,0.32433175295591354
CTX_RH_SUPERIORPARIETAL,0.5587777600976231,0.33577535528920105,0.1585312361739709,0.29328181967139244
CTX_RH_SUPERIORTEMPORAL,0.45083457469547805,0.38813329185855505,0.17247478346788508,0.301950772292912
CTX_RH_SUPRAMARGINAL,0.49112831190668943,0.3715184465161794,0.17761792194963283,0.3105334611609578
CTX_RH_FRONTALPOLE,0.3882197221671867,0.38941367775399127,0.23080597958960886,0.37451449129730463
CTX_RH_TEMPORALPOLE,0.50226609960061,0.3887326955097066,0.15499723308435848,0.28811885323375463
CTX_RH_TRANSVERSETEMPORAL,0.24780223589695907,0.44152742234928244,0.19957526207270893,0.33224988356232643
CTX_RH_INSULA,0.4924830219646029,0.39964635885120736,0.2177094240045862,0.3419059915468097
LEFT_CEREBELLUM_CORTEX,0.11447001313960495,0.4934547128483753,0.2638348367119076,0.38451594579964876
LEFT_THALAMUS_PROPER,0.4690371647311731,0.3985261521568277,0.18696232167843685,0.313053609803319
LEFT_CAUDATE,0.5064147403242826,0.5221846168778498,0.11093576130776418,0.24972898256964982
LEFT_PUTAMEN,0.3185989158522609,0.44030935933173365,0.4583424773409518,0.49249093420803547
LEFT_PALLIDUM,0.36387517818863735,0.43470626801976964,0.3650557610423585,0.4428906198590994
LEFT_HIPPOCAMPUS,0.5081999484974045,0.4157684749909621,0.2633915635319891,0.3658942971378565
LEFT_AMYGDALA,0.5658209520503545,0.3847319211670005,0.2503181175562211,0.36330376099795103
LEFT_ACCUMBENS_AREA,0.2349485566613334,0.46358617928286117,0.2614730315589232,0.38256580382585526
LEFT_VENTRALDC,0.3203475582067762,0.44125738828921585,0.30188163192047135,0.40974086709320545
RIGHT_CEREBELLUM_CORTEX,0.3224263559836848,0.47153058225491973,0.24792866094437138,0.37931595928967
RIGHT_THALAMUS_PROPER,0.36460650907435377,0.4227122855900995,0.24874484794646173,0.36615799833089113
RIGHT_CAUDATE,0.5062961792741987,0.5326842906910709,0.18598169968569064,0.3225334691815078
RIGHT_PUTAMEN,0.4343980316218559,0.4319724270737754,0.4315067399991975,0.4677533069625497
RIGHT_PALLIDUM,0.31951012945457746,0.45459712856881057,0.5415584322126532,0.5321410456672311
RIGHT_HIPPOCAMPUS,0.5080404669243717,0.43085208770147204,0.3429388235497231,0.41554421465843916
RIGHT_AMYGDALA,0.558630868740456,0.40841918832910074,0.2994685000618341,0.38655830547213554
RIGHT_ACCUMBENS_AREA,0.192052645755254,0.4931363055744928,0.43969092806078625,0.48668784089386463
RIGHT_VENTRALDC,0.37288240756731683,0.4414020630641459,0.3549144332897007,0.4418453639373183
