,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.46191336687852713,0.11893311631909262,0.2656044918533127,0.38767743422649803
CTX_LH_CAUDALANTERIORCINGULATE,0.31321799295531183,0.1494923265487051,0.23736522294419565,0.3672740123684742
CTX_LH_CAUDALMIDDLEFRONTAL,0.4324020804618354,0.12628581819504064,0.27280597533002193,0.4001579856579601
CTX_LH_CUNEUS,0.38842102059730377,0.13191201077632436,0.23795290095836433,0.3714483349484124
CTX_LH_ENTORHINAL,0.6065646377680793,0.13185253129966307,0.2574189148694765,0.37681815043293143
CTX_LH_FUSIFORM,0.5853292355174302,0.10208923363967348,0.25325784145076047,0.3682241966495462
CTX_LH_INFERIORPARIETAL,0.5008003353774382,0.11234946553788269,0.26769695093947893,0.38750722813172644
CTX_LH_INFERIORTEMPORAL,0.587233152675636,0.09488806645804898,0.28421465926280703,0.39065526930929967
CTX_LH_ISTHMUSCINGULATE,0.44834093701520766,0.11778732894954694,0.2662792369663725,0.37911976290027233
CTX_LH_LATERALOCCIPITAL,0.5268367460068686,0.09759922301385733,0.2517343466538198,0.37896053522352213
CTX_LH_LATERALORBITOFRONTAL,0.46179348221372507,0.12090565571161938,0.26668515243005336,0.3973488243036041
CTX_LH_LINGUAL,0.4667495735099323,0.1005817023183337,0.22023490521503575,0.35446525545649005
CTX_LH_MEDIALORBITOFRONTAL,0.45602607961188096,0.126769666172764,0.2682255265279413,0.38683407187362884
CTX_LH_MIDDLETEMPORAL,0.5323516137124916,0.09755252506345702,0.27190444153805876,0.38522260492356747
CTX_LH_PARAHIPPOCAMPAL,0.578841762249973,0.11479252127226969,0.22702438385322976,0.3500813862762581
CTX_LH_PARACENTRAL,0.29270776230642026,0.16696988922347408,0.23052275652392298,0.3706101416920922
CTX_LH_PARSOPERCULARIS,0.3751641995702187,0.14975433870756777,0.28269327663139576,0.4080087555442803
CTX_LH_PARSORBITALIS,0.38736283899483653,0.17862187115874323,0.2917500866515634,0.42306692623989295
CTX_LH_PARSTRIANGULARIS,0.39970857096235973,0.15561536238443266,0.28210058541392324,0.4106667907572672
CTX_LH_PERICALCARINE,0.29414291398120546,0.13430697524078755,0.25957463256777624,0.3918970034004805
CTX_LH_POSTCENTRAL,0.278915058126144,0.16332417107059236,0.24308931075648907,0.3736709317660917
CTX_LH_POSTERIORCINGULATE,0.40825944677755427,0.10996435117792507,0.2721491721229436,0.39059624578857455
CTX_LH_PRECENTRAL,0.40052878692561744,0.11635762171648419,0.24864578488539535,0.38194175969806515
CTX_LH_PRECUNEUS,0.45184671331879306,0.10248403749266202,0.2526118007385079,0.37503783242748256
CTX_LH_ROSTRALANTERIORCINGULATE,0.3104949707529245,0.14444788696750152,0.23803954889092946,0.36522830553308483
CTX_LH_ROSTRALMIDDLEFRONTAL,0.40088700362500596,0.12940676592528524,0.2857436765421279,0.4082655031496625
CTX_LH_SUPERIORFRONTAL,0.43833913353341686,0.11565434350069166,0.22096307520683278,0.3579403254030388
CTX_LH_SUPERIORPARIETAL,0.4373532332177468,0.10626649022608045,0.23909189770737482,0.3679903061968208
CTX_LH_SUPERIORTEMPORAL,0.42935670509042173,0.10511112197899872,0.23690543185517435,0.36839798585116507
CTX_LH_SUPRAMARGINAL,0.39814181583081154,0.12006490312724284,0.26220757785480614,0.3878336519754738
CTX_LH_FRONTALPOLE,0.38306209764287624,0.17973122892260662,0.2163690288371477,0.35723280330233637
CTX_LH_TEMPORALPOLE,0.5242898581495761,0.1098602555846517,0.20461838920054473,0.3388219032664199
CTX_LH_TRANSVERSETEMPORAL,0.3253226502982618,0.12519010066724626,0.21569653929295737,0.3535973427835368
CTX_LH_INSULA,0.4326115630933725,0.15446868586393936,0.33951021638735296,0.43404138314658375
CTX_RH_BANKSSTS,0.46494140913265564,0.11553877209274123,0.25173309656960996,0.3708834196776487
CTX_RH_CAUDALANTERIORCINGULATE,0.25203239474161426,0.18242545457307013,0.29058657970309304,0.3969980834909256
CTX_RH_CAUDALMIDDLEFRONTAL,0.4919826171646447,0.12355427366441912,0.2703774347759066,0.3914495360626229
CTX_RH_CUNEUS,0.5077229620456165,0.1138267803384037,0.25174236893598045,0.3777484061878468
CTX_RH_ENTORHINAL,0.5834035627866931,0.14543984867550055,0.31804960268215726,0.40703229472990804
CTX_RH_FUSIFORM,0.5650978556952677,0.10005568917789658,0.3126056024130677,0.3901996924054375
CTX_RH_INFERIORPARIETAL,0.5354133985266128,0.0999892378773434,0.2697656503724638,0.390135818236512
CTX_RH_INFERIORTEMPORAL,0.5466016262109392,0.10748118567750739,0.3222454288825209,0.4051150045024164
CTX_RH_ISTHMUSCINGULATE,0.45928501328223176,0.07351223803221962,0.24729950445469365,0.35844641821317824
CTX_RH_LATERALOCCIPITAL,0.5787449741331577,0.09924367666265985,0.295295320076048,0.40610862354138594
CTX_RH_LATERALORBITOFRONTAL,0.4608545554250532,0.12766897865428775,0.28093683403339176,0.4059393033572271
CTX_RH_LINGUAL,0.5277889226932193,0.10848288089098566,0.26276646412088167,0.37996174064252736
CTX_RH_MEDIALORBITOFRONTAL,0.39541849170829796,0.12932356966747058,0.2732104339222224,0.39544403416332635
CTX_RH_MIDDLETEMPORAL,0.5220052614002288,0.10916854127236753,0.2878958400733983,0.38858463824175926
CTX_RH_PARAHIPPOCAMPAL,0.4932618245456233,0.15835966241894117,0.2897394306489244,0.3880186650894942
CTX_RH_PARACENTRAL,0.31680809413843386,0.16140090296322565,0.2711665386080495,0.3989156784201909
CTX_RH_PARSOPERCULARIS,0.449308091108204,0.12380231201588304,0.26131758574924985,0.38797290792229444
CTX_RH_PARSORBITALIS,0.41843388223881345,0.1518690520057558,0.27593250620796744,0.4031372347283953
CTX_RH_PARSTRIANGULARIS,0.384849534793076,0.13735706441951365,0.269423506861348,0.3972944275532382
CTX_RH_PERICALCARINE,0.46455614859054695,0.1397707134338736,0.24365984465368756,0.37119368908087297
CTX_RH_POSTCENTRAL,0.3311636827889352,0.1300768150373107,0.22941277673548244,0.3652052392428537
CTX_RH_POSTERIORCINGULATE,0.4154052142269381,0.12384334569093257,0.2585682115218957,0.38260648909245154
CTX_RH_PRECENTRAL,0.4397132958505175,0.0989765043386897,0.23168268530996874,0.3656491509352588
CTX_RH_PRECUNEUS,0.5298959660611667,0.1036319780317963,0.2546679014436934,0.37548372587010426
CTX_RH_ROSTRALANTERIORCINGULATE,0.35292289009871763,0.13864430015068502,0.2594164791703156,0.38264343715249793
CTX_RH_ROSTRALMIDDLEFRONTAL,0.4188045400096214,0.12977727492389574,0.28176753203584864,0.40737600816883035
CTX_RH_SUPERIORFRONTAL,0.45541134299132785,0.102386612629191,0.263190980807735,0.391112588840004
CTX_RH_SUPERIORPARIETAL,0.5228337150792721,0.09306749923634725,0.2432524971911899,0.3724280283086606
CTX_RH_SUPERIORTEMPORAL,0.45259983210595367,0.10826810875763355,0.21952713704970064,0.35069807121330787
CTX_RH_SUPRAMARGINAL,0.4571508021243359,0.13101368602683808,0.23374250630469823,0.3609180108900985
CTX_RH_FRONTALPOLE,0.37941873630027445,0.15387316070721793,0.2605794384819063,0.3987107719639661
CTX_RH_TEMPORALPOLE,0.5049385394770316,0.10705609112704492,0.19426423171272453,0.3280108537020026
CTX_RH_TRANSVERSETEMPORAL,0.22459934131460915,0.130590885926373,0.22640706745774777,0.35631500171040703
CTX_RH_INSULA,0.4384885769687161,0.12013609154305235,0.2601085751712804,0.3779673107984625
LEFT_CEREBELLUM_CORTEX,0.17409746653196848,0.1436109906458347,0.3071662793053436,0.4157616049180635
LEFT_THALAMUS_PROPER,0.5246951290214881,0.09524205385361699,0.27050511496334473,0.37687101830203845
LEFT_CAUDATE,0.6587318074431173,0.12667041653076883,0.1492048858417942,0.272234792752982
LEFT_PUTAMEN,0.37538623018614886,0.17121371517840295,0.5171126621134308,0.5195394752954875
LEFT_PALLIDUM,0.4160614269764983,0.18520657342881702,0.406119283936062,0.46511353162540353
LEFT_HIPPOCAMPUS,0.48023326542819816,0.10857690622603577,0.3365410925170025,0.42289862877266193
LEFT_AMYGDALA,0.5474989827845628,0.15153012208238612,0.32063769264653436,0.42098159409246183
LEFT_ACCUMBENS_AREA,0.568690148233838,0.20046133986345888,0.3123053635169727,0.4036092519179933
LEFT_VENTRALDC,0.5098348376405317,0.1675015945144684,0.3629009103888017,0.44055185379925427
RIGHT_CEREBELLUM_CORTEX,0.23270456809706014,0.11491626349099118,0.29713897265095485,0.41014551074223704
RIGHT_THALAMUS_PROPER,0.4524883624072193,0.13630487734242555,0.3278780489600084,0.42023721435313033
RIGHT_CAUDATE,0.6075798391328583,0.16902585763030892,0.2389402638723309,0.34800022927960833
RIGHT_PUTAMEN,0.4073898912759165,0.18948935364441608,0.48749936565664037,0.5006377971121808
RIGHT_PALLIDUM,0.3502744669241613,0.2513079325261814,0.5942438680117998,0.5604114031104191
RIGHT_HIPPOCAMPUS,0.4163390531635891,0.13880591674056503,0.43624277862419514,0.4811581375690237
RIGHT_AMYGDALA,0.5100585965550842,0.1674526052018257,0.3680643881313822,0.44203253129935866
RIGHT_ACCUMBENS_AREA,0.4619604417655678,0.2442292582482898,0.5039245142515556,0.5119948357938771
RIGHT_VENTRALDC,0.4297295175369361,0.15550522765789798,0.4105958268906815,0.4704006643635997
