,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.597694405168807,0.2405727288548011,0.10393461113228869,0.2429920630529523
CTX_LH_CAUDALANTERIORCINGULATE,0.4383407953453325,0.25902611659397945,0.08059632551915868,0.1943061864003539
CTX_LH_CAUDALMIDDLEFRONTAL,0.6248895408794146,0.25289693933161667,0.08961975804724231,0.2088008914142847
CTX_LH_CUNEUS,0.544216638420967,0.25324015946122175,0.09382176962985428,0.21666116919368505
CTX_LH_ENTORHINAL,0.6671417421102435,0.2448079375671596,0.09229783525764873,0.2175584500655532
CTX_LH_FUSIFORM,0.7060562381383355,0.22372133282746484,0.09555591183670109,0.21601392328739166
CTX_LH_INFERIORPARIETAL,0.7063269836249244,0.23933018530673753,0.10256564498173926,0.23514679819345474
CTX_LH_INFERIORTEMPORAL,0.7329559311296877,0.23480145189841883,0.1155622948259023,0.24099233746528625
CTX_LH_ISTHMUSCINGULATE,0.5391718479526313,0.2505531883655336,0.09953590960187075,0.2304258905351162
CTX_LH_LATERALOCCIPITAL,0.7069086966796865,0.2312021782707922,0.09543553210938199,0.21855212654918432
CTX_LH_LATERALORBITOFRONTAL,0.4727660963666044,0.25293875848287756,0.1058992415345692,0.22672368213534355
CTX_LH_LINGUAL,0.5750761143067366,0.24246856098677932,0.07809632257950688,0.19909429270774126
CTX_LH_MEDIALORBITOFRONTAL,0.4263188693811156,0.2720397038966537,0.10977852761333856,0.22384860273450613
CTX_LH_MIDDLETEMPORAL,0.6772537773542144,0.24035177302308333,0.11294025510598465,0.24613396916538477
CTX_LH_PARAHIPPOCAMPAL,0.40281362975734336,0.27615695624544884,0.09693716690175685,0.22373116854578257
CTX_LH_PARACENTRAL,0.20923817815131415,0.2771546820922905,0.07930934522967614,0.19702798500657082
CTX_LH_PARSOPERCULARIS,0.41532938916346074,0.26854988435451593,0.10982968248605524,0.23309590574353933
CTX_LH_PARSORBITALIS,0.35819364874575677,0.27882499171302993,0.13025585616858099,0.24558128509670496
