,pearson,nrmse,mse,mae
CTX_LH_BANKSSTS,0.5604247095751844,0.09375775087803935,0.16506088894861068,0.2920604659893522
CTX_LH_CAUDALANTERIORCINGULATE,0.4285596921853959,0.10263424338652885,0.11188293689687963,0.23527597459995672
CTX_LH_CAUDALMIDDLEFRONTAL,0.5088792502183181,0.10109666616020237,0.1748309760907863,0.3038085901803784
CTX_LH_CUNEUS,0.4729122765619207,0.10172271293562961,0.14150057066036043,0.27060366026879956
CTX_LH_ENTORHINAL,0.6472250478945872,0.101493246138758,0.15252386360208448,0.28389800438732915
CTX_LH_FUSIFORM,0.6336425162162556,0.08085855940015316,0.1588747984982992,0.2861105229461183
CTX_LH_INFERIORPARIETAL,0.6266947423672362,0.09183190632867039,0.17884985931239267,0.31185353159489726
CTX_LH_INFERIORTEMPORAL,0.6801060774232,0.07370373153805422,0.1714755611110111,0.2978175733232126
CTX_LH_ISTHMUSCINGULATE,0.5736096806844754,0.09009597903267896,0.15579408854103288,0.285323764458561
CTX_LH_LATERALOCCIPITAL,0.6393384241981112,0.07867817085408793,0.16359056923962104,0.2868686178539089
CTX_LH_LATERALORBITOFRONTAL,0.4658849956931165,0.08958837897245735,0.14642288537821818,0.2720938521719488
CTX_LH_LINGUAL,0.5284321030100922,0.07626822660893419,0.12662967289267735,0.25735331283653073
CTX_LH_MEDIALORBITOFRONTAL,0.49895450807896646,0.09552950426857747,0.1523156265350471,0.2718647832402386
CTX_LH_MIDDLETEMPORAL,0.6291624853577182,0.07630569592412688,0.16636163750944905,0.29546874986779176
CTX_LH_PARAHIPPOCAMPAL,0.5431957911585877,0.0902357167321837,0.1402821006889078,0.27026759177589643
CTX_LH_PARACENTRAL,0.3404090902685335,0.11951841924907905,0.11811557462184524,0.25299435970643663
CTX_LH_PARSOPERCULARIS,0.37938456498456385,0.11354545249641619,0.16251600693256993,0.2917390144081211
CTX_LH_PARSORBITALIS,0.3513050348257927,0.13484397049057012,0.16626651288655225,0.2861312997709816
CTX_LH_PARSTRIANGULARIS,0.42211124386190424,0.11407320105100108,0.15158851823885963,0.27517534581043557
CTX_LH_PERICALCARINE,0.3076477385109302,0.0957383507621989,0.13189763087011133,0.253804338673547
CTX_LH_POSTCENTRAL,0.30082560445742124,0.11469170683019679,0.11987509621232198,0.2575873603390771
